title,price,place,like,chat,image
LG제습기,"50,000원",제주 제주시 한림읍,5,44,images/image_0.jpg
"한성컴퓨터 ULTRON 2759G 모니터 27인치, FHD, 144Hz",나눔🧡,경기도 군포시 산본2동,6,36,images/image_1.jpg
아이폰12미니,"200,000원",광주 서구 쌍촌동,9,37,images/image_2.jpg
급처) 오늘만)플스5 디스크에디션 신형 팝니다,"350,000원",서울 중랑구 면목제7동,33,61,images/image_3.jpg
고장난 컴퓨터 본체 팝니다,"50,000원",부산 해운대구 반여동,15,20,images/image_4.jpg
아이폰14프로 256기가 팔아요,"500,000원",광주 서구 치평동,20,69,images/image_5.jpg
삼성 제습기,"20,000원",경기도 평택시 서정동,4,21,images/image_6.jpg
제습기판매상태양호각5만원,"50,000원",충북 청주시 흥덕구 가경동,23,38,images/image_7.jpg
너무 급해서 팝니다,"300,000원",서울 용산구 한강로동,46,27,images/image_8.jpg
65인치 TV,"60,000원",대전 서구 월평3동,14,18,images/image_9.jpg
"각도절단기, 테이블쏘","50,000원",충북 음성군 맹동면,15,5,images/image_10.jpg
전남친이랑 헤어져서 팔아요 ㅠ,"50,000원",대전 유성구 봉명동,8,29,images/image_11.jpg
애어팟 프로 2세대 2만원에 팔아요,"20,000원",경기도 수원시 영통구 매탄3동,23,100,images/image_12.jpg
위닉스 제습기.  15L   80.000원,"80,000원",서울 양천구 신정4동,6,25,images/image_13.jpg
옥수수,"5,000원",경기도 양평군 강하면,16,22,images/image_14.jpg
캠핑 접습니다 장비 대량 판매,10억원,강원도 춘천시 우두동,15,24,images/image_15.jpg
이사 정리합니다.,"10,000원",경기도 고양시 덕양구 토당동,13,23,images/image_16.jpg
제습량24L 제습기 6만에 판매해요,"60,000원",경북 구미시 임은동,7,16,images/image_17.jpg
갤럭시 노트10+ 256기가 팝니다.,"85,000원",경기도 이천시 부발읍,7,14,images/image_18.jpg
레인보우드 회전책장,나눔🧡,경기도 화성시 동탄1동,30,20,images/image_19.jpg
에어컨 구매해서 제습기 팔아요!,"40,000원",제주 서귀포시 안덕면,8,21,images/image_20.jpg
삼성냉동고,"50,000원",경기도 화성시 동탄1동,11,15,images/image_21.jpg
냉장고,"40,000원",경북 포항시 남구 동촌동,3,24,images/image_22.jpg
복숭아 판매,"28,000원",충북 충주시 대소원면,15,27,images/image_23.jpg
원룸 정리 퀸침대 전자렌지 행거 테이블 의자 분리수거함 접시 수저 주방 선반 수납장,"1,000원",부산 연제구 거제동,7,29,images/image_24.jpg
미니 냉장고,"50,000원",광주 서구 치평동,14,11,images/image_25.jpg
짤순이,"10,000원",경기도 포천시 소흘읍,4,19,images/image_26.jpg
급하게 팝니다!,"20,000원",경기도 성남시 분당구 삼평동,7,10,images/image_27.jpg
자전거,"50,000원",인천 부평구 부개3동,52,57,images/image_28.jpg
픽시 자전거 팝니다,800만원,인천 부평구 갈산2동,15,32,images/image_29.jpg
전부 2만원에 가져가실분 계실까요,"20,000원",대구 수성구 범어2동,25,6,images/image_30.jpg
"스팸, 리챔","1,000원",경남 창원시 마산회원구 내서읍,4,14,images/image_31.jpg
에어팟,나눔🧡,서울 양천구 목4동,12,8,images/image_32.jpg
전 여친물건 팔아요,"300,000원",경북 구미시 옥계동,11,3,images/image_33.jpg
9000 페소 (필리핀 화폐/오늘 환율),"210,000원",대구 달서구 송현1동,5,20,images/image_34.jpg
다우니 섬유유연제 가져가셔요,"1,000원",서울 양천구 신정3동,1,13,images/image_35.jpg
추피책 팔아용,"40,000원",인천 부평구 부평1동,6,18,images/image_36.jpg
코스트코 천막 판매,"50,000원",경기도 광주시 곤지암읍,10,2,images/image_37.jpg
삼성제습기,"60,000원",대전 서구 괴정동,14,11,images/image_38.jpg
신일 이동식에어컨,"50,000원",경기도 평택시 안중읍,6,13,images/image_39.jpg
캐리어제습기,"50,000원",전남 목포시 옥암동,11,23,images/image_40.jpg
대우루컴즈냉장고,"70,000원",부산 부산진구 부전제2동,7,15,images/image_41.jpg
아이패드 미니5 & 아이펜슬 총 15만원에 판매합니다.,"250,000원",부산 해운대구 반여제2동,12,18,images/image_42.jpg
제습기,"30,000원",서울 송파구 방이1동,4,15,images/image_43.jpg
다이슨 6세대,"20,000원",경기도 성남시 분당구 정자동,7,17,images/image_44.jpg
먹태깡!,"1,500원",울산 남구 신정1동,4,6,images/image_45.jpg
제습기,"10,000원",전북 익산시 어양동,3,10,images/image_46.jpg
펜디 핸드백 가로28세로21,"75,000원",서울 강남구 삼성2동,33,25,images/image_47.jpg
삼성 아기사랑세탁기,"50,000원",경남 김해시 장유3동,10,14,images/image_48.jpg
오늘까지오실수있는분닥터샐러드 점포정리,"10,000원",전남 광양시 광양읍,4,15,images/image_49.jpg
위닉스 제습기 팝니다~~^^ 거의새것,"130,000원",전북 전주시 덕진구 인후1동,4,12,images/image_50.jpg
에어팟 프로,나눔🧡,경남 양산시 남부동,13,62,images/image_51.jpg
아이폰13프로 128기가,"750,000원",서울 동대문구 장안제1동,16,24,images/image_52.jpg
생로랑 가방(이사가서 팔아요),"50,000원",경기도 부천시 심곡본1동,15,7,images/image_53.jpg
반클리프 다이아반지,300만원,서울 강남구 청담동,28,5,images/image_54.jpg
다가져가세요,"100,000원",강원도 원주시 단계동,5,5,images/image_55.jpg
파라솔,"10,000원",강원도 원주시 단계동,2,9,images/image_56.jpg
냉장고 / 냉동고,"50,000원",경기도 김포시 장기동,5,21,images/image_57.jpg
하이얼 냉장고 급하게 판매,"50,000원",대전 서구 용문동,5,11,images/image_58.jpg
LG휘센 2in1에어컨(18평형),"50,000원",경기도 이천시 안흥동,6,8,images/image_59.jpg
철재수납장,"10,000원",경남 창원시 의창구 도계동,9,5,images/image_60.jpg
삼성 갤럭시 S23 울트라,"247,000원",서울 송파구 잠실2동,19,26,images/image_61.jpg
다이슨 선풍기,"50,000원",서울 종로구 이화동,8,4,images/image_62.jpg
가정용 미싱(새상품),"10,000원",부산 동래구 온천동,6,9,images/image_63.jpg
프라다 여성 가방 팔아요,,경기도 안양시 만안구 안양2동,26,29,images/image_64.jpg
냉장고 판매합니다~,"20,000원",경기도 고양시 일산동구 백석동,5,7,images/image_65.jpg
위닉스 뽀송 제습기 팝니다.,"75,000원",서울 은평구 역촌동,6,14,images/image_66.jpg
LG 제습기,"90,000원",서울 영등포구 여의도동,6,18,images/image_67.jpg
맨시티 내한경기 부부동반 같이보러가실분(티켓지원),"120,000원",경기도 고양시 일산서구 대화동,16,16,images/image_68.jpg
야외용 테이블,"70,000원",제주 제주시 용담1동,5,6,images/image_69.jpg
위닉스뽀송 15리터 제습기,"70,000원",서울 송파구 거여동,5,13,images/image_70.jpg
냉장고,"50,000원",대구 수성구 범어동,4,13,images/image_71.jpg
클래식 수입 엔틱 의자,"10,000원",대전 서구 월평2동,14,9,images/image_72.jpg
베베드피노모자,"15,000원",인천 남동구 구월1동,0,16,images/image_73.jpg
아이폰 13 미니,"300,000원",부산 남구 대연동,6,16,images/image_74.jpg
창문형 에어컨,"15,000원",경기도 안산시 상록구 사동,9,19,images/image_75.jpg
신일 이동식 에어컨,"38,000원",서울 마포구 연남동,20,11,images/image_76.jpg
낚시 릴 팝니다! 가격 제안 주세요!,10원,경기도 파주시 야당동,11,17,images/image_77.jpg
드림타워하얏트호텔 양도합니다,"200,000원",제주 제주시 연동,11,28,images/image_78.jpg
이동식에어컨,"590,000원",광주 북구 신안동,6,16,images/image_79.jpg
엘지냉장고 480L,"150,000원",부산 북구 구포제2동,5,17,images/image_80.jpg
멸균서울우유 24×2,"15,000원",부산 동래구 온천동,3,11,images/image_81.jpg
삼성 60인치 LED TV,"100,000원",경기도 시흥시 장곡동,8,6,images/image_82.jpg
삼성 에어컨 2in1,"100,000원",전북 전주시 덕진구 송천동1가,7,10,images/image_83.jpg
7.14-15 풀빌라 양도,"260,000원",인천 연수구 송도동,72,26,images/image_84.jpg
에어컨/시레기,"60,000원",경남 김해시 봉황동,8,15,images/image_85.jpg
위닉스 제습기,"50,000원",서울 영등포구 대림제3동,6,13,images/image_86.jpg
노래방기계 팝니다,"50,000원",인천 남동구 구월동,9,6,images/image_87.jpg
김치냉장고,"50,000원",경남 김해시 부곡동,6,14,images/image_88.jpg
쿠잉 냉동고,"50,000원",서울 성북구 돈암동,7,10,images/image_89.jpg
Dewalt 업소용 청소기,"70,000원",대구 달성군 다사읍,6,8,images/image_90.jpg
제습기,"70,000원",충남 천안시 서북구 불당동,1,10,images/image_91.jpg
제습기,"20,000원",광주 동구 계림동,1,13,images/image_92.jpg
컴퓨터 본체 팝니다.,"500,000원",충북 청주시 흥덕구 옥산면,15,2,images/image_93.jpg
"블라인드 철제 선반, 앵글","10,000원",충북 청주시 흥덕구 오송읍,14,15,images/image_94.jpg
쿠쿠제습기1645전기1등급,"110,000원",서울 관악구 행운동,12,12,images/image_95.jpg
갤럭시 탭 S6 lite,"150,000원",경기도 용인시 수지구 상현1동,10,8,images/image_96.jpg
캠핑용품 정리,"10,000원",부산 기장군 정관읍,15,25,images/image_97.jpg
위니아 제습기,"30,000원",제주 제주시 연동,9,22,images/image_98.jpg
컴퓨터 부품 팝니다,"40,000원",서울 노원구 상계6.7동,13,20,images/image_99.jpg
